Date,Open,High,Low,Close,Volume
2021-07-06 09:30:00-04:00,433.7799987792969,434.010009765625,433.75,433.8659973144531,1029577
2021-07-06 09:31:00-04:00,433.8699951171875,433.8800048828125,433.635009765625,433.6400146484375,226208
2021-07-06 09:32:00-04:00,433.6300048828125,433.739990234375,433.5920104980469,433.6300048828125,212003
2021-07-06 09:33:00-04:00,433.6300048828125,433.7200012207031,433.5400085449219,433.55499267578125,155231
2021-07-06 09:34:00-04:00,433.54901123046875,433.5799865722656,433.4200134277344,433.4259948730469,154363
2021-07-06 09:35:00-04:00,433.42999267578125,433.4599914550781,433.2799987792969,433.32000732421875,184856
2021-07-06 09:36:00-04:00,433.29998779296875,433.30999755859375,433.20001220703125,433.30999755859375,143776
2021-07-06 09:37:00-04:00,433.32000732421875,433.3500061035156,433.1499938964844,433.1499938964844,135159
2021-07-06 09:38:00-04:00,433.1499938964844,433.1600036621094,433.0799865722656,433.1000061035156,137343
2021-07-06 09:39:00-04:00,433.0799865722656,433.1000061035156,432.9580078125,433.0899963378906,278688
2021-07-06 09:40:00-04:00,433.1000061035156,433.1600036621094,433.0080871582031,433.0299987792969,163394
2021-07-06 09:41:00-04:00,433.0199890136719,433.1300048828125,432.9800109863281,433.04901123046875,130634
2021-07-06 09:42:00-04:00,433.04998779296875,433.1000061035156,433.0,433.0299987792969,133945
2021-07-06 09:43:00-04:00,433.0199890136719,433.04998779296875,432.9801025390625,433.010009765625,94951
2021-07-06 09:44:00-04:00,433.0,433.0249938964844,432.9800109863281,432.9949951171875,79719
2021-07-06 09:45:00-04:00,433.0,433.0199890136719,432.8999938964844,432.90179443359375,172229
2021-07-06 09:46:00-04:00,432.8999938964844,433.1700134277344,432.8599853515625,433.1400146484375,167691
2021-07-06 09:47:00-04:00,433.1400146484375,433.3599853515625,433.135009765625,433.3599853515625,206311
2021-07-06 09:48:00-04:00,433.3699035644531,433.3900146484375,433.239990234375,433.29998779296875,96028
2021-07-06 09:49:00-04:00,433.298095703125,433.3280944824219,433.25,433.2900085449219,81707
2021-07-06 09:50:00-04:00,433.2799987792969,433.30999755859375,433.1610107421875,433.16900634765625,99390
2021-07-06 09:51:00-04:00,433.1499938964844,433.19000244140625,433.04998779296875,433.04998779296875,99153
