Datetime,Open,High,Low,Close,Volume
2021-05-24 15:30:00-04:00,419.95001220703125,419.989990234375,419.8699951171875,419.9599914550781,0
2021-05-24 15:31:00-04:00,419.95001220703125,419.9700012207031,419.8699951171875,419.8900146484375,147759
2021-05-24 15:32:00-04:00,419.89111328125,419.92999267578125,419.79998779296875,419.8006896972656,207074
2021-05-24 15:33:00-04:00,419.79998779296875,419.8500061035156,419.760009765625,419.7699890136719,310487
2021-05-24 15:34:00-04:00,419.7749938964844,419.8399963378906,419.7300109863281,419.8301086425781,143562
2021-05-24 15:35:00-04:00,419.8299865722656,419.9100036621094,419.80499267578125,419.8299865722656,297405
2021-05-24 15:36:00-04:00,419.8299865722656,419.8800048828125,419.7799987792969,419.81890869140625,102498
2021-05-24 15:37:00-04:00,419.82000732421875,419.8900146484375,419.79998779296875,419.8500061035156,209249
2021-05-24 15:38:00-04:00,419.8562927246094,419.8599853515625,419.79998779296875,419.82000732421875,214438
2021-05-24 15:39:00-04:00,419.8269958496094,419.8699951171875,419.7900085449219,419.8450012207031,156516
2021-05-24 15:40:00-04:00,419.8450012207031,419.95001220703125,419.7749938964844,419.8999938964844,229140
2021-05-24 15:41:00-04:00,419.9002990722656,419.9100036621094,419.80999755859375,419.8450012207031,166740
2021-05-24 15:42:00-04:00,419.8399963378906,419.8399963378906,419.739990234375,419.75,119335
2021-05-24 15:43:00-04:00,419.7449951171875,419.80999755859375,419.70001220703125,419.7049865722656,166063
2021-05-24 15:44:00-04:00,419.7049865722656,419.7650146484375,419.6700134277344,419.70001220703125,226932
2021-05-24 15:45:00-04:00,419.70001220703125,419.7300109863281,419.6199951171875,419.6549987792969,600165
2021-05-24 15:46:00-04:00,419.6549987792969,419.7799987792969,419.6549987792969,419.7149963378906,226168
2021-05-24 15:47:00-04:00,419.7200012207031,419.7699890136719,419.69000244140625,419.70001220703125,522217
2021-05-24 15:48:00-04:00,419.69000244140625,419.7950134277344,419.6600036621094,419.7950134277344,334385
2021-05-24 15:49:00-04:00,419.7900085449219,419.79998779296875,419.7099914550781,419.7149963378906,263728
2021-05-24 15:50:00-04:00,419.7099914550781,419.739990234375,419.45001220703125,419.56500244140625,688397
2021-05-24 15:51:00-04:00,419.57000732421875,419.5799865722656,419.4800109863281,419.5299987792969,330105
2021-05-24 15:52:00-04:00,419.5281066894531,419.6000061035156,419.4800109863281,419.4949951171875,259468
2021-05-24 15:53:00-04:00,419.489990234375,419.57501220703125,419.4800109863281,419.57501220703125,300353
2021-05-24 15:54:00-04:00,419.568115234375,419.57000732421875,419.4700012207031,419.5249938964844,404563
2021-05-24 15:55:00-04:00,419.5299987792969,419.5400085449219,419.2900085449219,419.32000732421875,467911
2021-05-24 15:56:00-04:00,419.32000732421875,419.3299865722656,419.239990234375,419.2880859375,619745
2021-05-24 15:57:00-04:00,419.2880859375,419.2900085449219,419.17999267578125,419.2099914550781,605056
2021-05-24 15:58:00-04:00,419.2099914550781,419.2200012207031,419.0400085449219,419.05999755859375,582846
2021-05-24 15:59:00-04:00,419.05499267578125,419.1499938964844,418.94000244140625,419.1199951171875,1838949
2021-05-25 09:30:00-04:00,420.3299865722656,420.3599853515625,420.1400146484375,420.19000244140625,1071553
2021-05-25 09:31:00-04:00,420.19000244140625,420.4599914550781,420.1499938964844,420.45001220703125,242957
